observation_id,target,event_id,camera_id,set_idx,capture_block,image_path,corner_count,marker_ids,observed_faces,quality_tier,pnp_rmse_px,pnp_inlier_fraction,detection_method,standard_selected,standard_disposition,standard_reason,strict_selected,strict_disposition,strict_reason
board:E0000:cam0,board,0,0,,B_eyetohand,cam0/rgb_00000.png,60,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0000:cam0,cube,0,0,,B_eyetohand,cam0/rgb_00000.png,12,"[4,3,1]","[""+Y"",""+Z"",""-X""]",nonplanar_multiface,0.8797474049635056,1.0,default,True,selected,selected,True,selected,selected
cube:E0000:cam1,cube,0,1,,B_eyetohand,cam1/rgb_00000.png,8,"[5,2]","[""+X"",""-Y""]",nonplanar_multiface,0.8780262647837561,1.0,up2_unsharp_relaxed,True,recovered,selected,True,recovered,selected
board:E0000:cam2,board,0,2,,B_eyetohand,cam2/rgb_00000.png,36,"[0,1,2,3,4,5,6,9,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,32,33,34,35,36,42,43,44,50,51,52,53,54]",[],,,,,True,selected,selected,True,selected,selected
board:E0001:cam0,board,1,0,,B_eyetohand,cam0/rgb_00001.png,60,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0001:cam0,cube,1,0,,B_eyetohand,cam0/rgb_00001.png,8,"[5,0]","[""+Z"",""-Y""]",nonplanar_multiface,1.2008566475873463,1.0,default,True,selected,selected,True,selected,selected
board:E0001:cam1,board,1,1,,B_eyetohand,cam1/rgb_00001.png,21,"[3,4,5,6,7,8,9,13,16,17,18,19,23,27,28,29,37,38,39,49,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0001:cam1,cube,1,1,,B_eyetohand,cam1/rgb_00001.png,8,"[3,2]","[""+X"",""+Y""]",nonplanar_multiface,1.0853563932552228,1.0,default,True,selected,selected,True,selected,selected
board:E0001:cam2,board,1,2,,B_eyetohand,cam2/rgb_00001.png,36,"[0,1,2,3,4,5,6,9,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,32,33,34,35,36,42,43,44,50,51,52,53,54]",[],,,,,True,selected,selected,True,selected,selected
cube:E0001:cam2,cube,1,2,,B_eyetohand,cam2/rgb_00001.png,8,"[3,4]","[""+Y"",""-X""]",nonplanar_multiface,0.4209880189758634,1.0,default,True,selected,selected,True,selected,selected
board:E0001:cam3,board,1,3,,B_eyetohand,cam3/rgb_00001.png,30,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24,30,31,32,33,34,43,44]",[],,,,,True,selected,selected,True,selected,selected
board:E0002:cam0,board,2,0,,B_eyetohand,cam0/rgb_00002.png,60,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0002:cam0,cube,2,0,,B_eyetohand,cam0/rgb_00002.png,12,"[5,4,0]","[""+Z"",""-X"",""-Y""]",nonplanar_multiface,1.3149473101251792,1.0,default,True,selected,selected,True,selected,selected
cube:E0002:cam1,cube,2,1,,B_eyetohand,cam1/rgb_00002.png,8,"[2,3]","[""+X"",""+Y""]",nonplanar_multiface,1.3515791911980557,1.0,default,True,selected,selected,True,selected,selected
board:E0002:cam2,board,2,2,,B_eyetohand,cam2/rgb_00002.png,44,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,32,33,34,35,36,37,38,42,43,44,50,51,52,53,54]",[],,,,,True,selected,selected,True,selected,selected
cube:E0002:cam2,cube,2,2,,B_eyetohand,cam2/rgb_00002.png,8,"[4,3]","[""+Y"",""-X""]",nonplanar_multiface,0.8894960274046343,1.0,default,True,selected,selected,True,selected,selected
board:E0003:cam0,board,3,0,,B_eyetohand,cam0/rgb_00003.png,58,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0003:cam0,cube,3,0,,B_eyetohand,cam0/rgb_00003.png,8,"[2,5]","[""+X"",""-Y""]",nonplanar_multiface,1.1007951532496154,1.0,default,True,selected,selected,True,selected,selected
board:E0003:cam1,board,3,1,,B_eyetohand,cam1/rgb_00003.png,23,"[3,4,5,6,9,13,16,19,23,26,27,28,29,34,35,36,37,38,39,44,49,54,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0003:cam1,cube,3,1,,B_eyetohand,cam1/rgb_00003.png,8,"[3,4]","[""+Y"",""-X""]",nonplanar_multiface,0.7203972424150735,1.0,default,True,selected,selected,True,selected,selected
board:E0003:cam2,board,3,2,,B_eyetohand,cam2/rgb_00003.png,40,"[0,1,2,3,4,5,6,9,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,30,31,32,33,34,35,36,40,41,42,43,44,50,51,52,53,54]",[],,,,,True,selected,selected,True,selected,selected
cube:E0003:cam2,cube,3,2,,B_eyetohand,cam2/rgb_00003.png,8,"[4,5]","[""-X"",""-Y""]",nonplanar_multiface,0.7199313714730045,1.0,default,True,selected,selected,True,selected,selected
board:E0004:cam0,board,4,0,,B_eyetohand,cam0/rgb_00004.png,60,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0004:cam0,cube,4,0,,B_eyetohand,cam0/rgb_00004.png,8,"[2,5]","[""+X"",""-Y""]",nonplanar_multiface,1.2007792509300395,1.0,default,True,selected,selected,True,selected,selected
board:E0004:cam1,board,4,1,,B_eyetohand,cam1/rgb_00004.png,24,"[3,4,5,6,7,8,9,13,16,17,18,19,23,26,27,28,34,35,36,37,38,44,49,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0004:cam1,cube,4,1,,B_eyetohand,cam1/rgb_00004.png,8,"[3,4]","[""+Y"",""-X""]",nonplanar_multiface,0.4535865775693787,1.0,default,True,selected,selected,True,selected,selected
board:E0004:cam2,board,4,2,,B_eyetohand,cam2/rgb_00004.png,41,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20,21,22,23,24,25,26,27,32,33,34,35,36,37,38,42,43,44,50,51,52,53,54]",[],,,,,True,selected,selected,True,selected,selected
cube:E0004:cam2,cube,4,2,,B_eyetohand,cam2/rgb_00004.png,8,"[4,5]","[""-X"",""-Y""]",nonplanar_multiface,0.7185603790767711,1.0,up2_unsharp_relaxed,True,recovered,selected,True,recovered,selected
board:E0005:cam0,board,5,0,,B_eyetohand,cam0/rgb_00005.png,60,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0005:cam0,cube,5,0,,B_eyetohand,cam0/rgb_00005.png,8,"[2,3]","[""+X"",""+Y""]",nonplanar_multiface,1.1579074293328886,1.0,default,True,selected,selected,True,selected,selected
board:E0005:cam1,board,5,1,,B_eyetohand,cam1/rgb_00005.png,28,"[0,3,4,5,6,7,8,9,13,16,17,18,19,23,26,27,28,29,34,35,36,37,38,39,44,49,54,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0005:cam1,cube,5,1,,B_eyetohand,cam1/rgb_00005.png,8,"[4,3]","[""+Y"",""-X""]",nonplanar_multiface,0.5086013428353958,1.0,default,True,selected,selected,True,selected,selected
board:E0005:cam2,board,5,2,,B_eyetohand,cam2/rgb_00005.png,39,"[0,1,2,3,4,5,6,9,10,11,12,13,14,15,16,20,21,22,23,24,25,26,27,32,33,34,35,36,37,38,39,42,43,44,50,51,52,53,54]",[],,,,,True,selected,selected,True,selected,selected
cube:E0005:cam2,cube,5,2,,B_eyetohand,cam2/rgb_00005.png,8,"[5,4]","[""-X"",""-Y""]",nonplanar_multiface,0.9068342452729101,1.0,default,True,selected,selected,True,selected,selected
board:E0005:cam3,board,5,3,,B_eyetohand,cam3/rgb_00005.png,14,"[10,11,12,20,21,22,30,31,32,40,41,42,50,51]",[],,,,,True,selected,selected,True,selected,selected
board:E0006:cam0,board,6,0,,B_eyetohand,cam0/rgb_00006.png,60,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0006:cam0,cube,6,0,,B_eyetohand,cam0/rgb_00006.png,8,"[3,1]","[""+Y"",""+Z""]",nonplanar_multiface,0.43727044968851836,1.0,default,True,selected,selected,True,selected,selected
board:E0006:cam1,board,6,1,,B_eyetohand,cam1/rgb_00006.png,28,"[0,3,4,5,6,7,8,9,13,16,17,18,19,23,26,27,28,29,34,35,36,37,38,39,44,49,54,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0006:cam1,cube,6,1,,B_eyetohand,cam1/rgb_00006.png,8,"[5,4]","[""-X"",""-Y""]",nonplanar_multiface,0.8190808252032062,1.0,default,True,selected,selected,True,selected,selected
board:E0006:cam2,board,6,2,,B_eyetohand,cam2/rgb_00006.png,48,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,40,41,42,43,44,50,51,52,53,54]",[],,,,,True,selected,selected,True,selected,selected
cube:E0006:cam2,cube,6,2,,B_eyetohand,cam2/rgb_00006.png,8,"[5,2]","[""+X"",""-Y""]",nonplanar_multiface,1.034667466955609,1.0,default,True,selected,selected,True,selected,selected
board:E0006:cam3,board,6,3,,B_eyetohand,cam3/rgb_00006.png,26,"[8,9,17,18,19,22,23,24,25,26,27,28,29,32,33,34,35,36,37,38,39,45,46,47,48,49]",[],,,,,True,selected,selected,True,selected,selected
board:E0007:cam0,board,7,0,,B_eyetohand,cam0/rgb_00007.png,54,"[0,1,2,3,4,5,6,9,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0007:cam0,cube,7,0,,B_eyetohand,cam0/rgb_00007.png,8,"[2,3]","[""+X"",""+Y""]",nonplanar_multiface,1.3028900223964572,1.0,default,True,selected,selected,True,selected,selected
board:E0007:cam1,board,7,1,,B_eyetohand,cam1/rgb_00007.png,24,"[3,4,5,6,7,8,9,13,16,17,18,19,23,26,27,28,29,36,37,38,39,49,54,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0007:cam1,cube,7,1,,B_eyetohand,cam1/rgb_00007.png,8,"[4,3]","[""+Y"",""-X""]",nonplanar_multiface,0.48137997374823643,1.0,default,True,selected,selected,True,selected,selected
board:E0007:cam2,board,7,2,,B_eyetohand,cam2/rgb_00007.png,38,"[0,1,2,3,4,5,6,9,10,11,12,13,14,15,16,20,21,22,23,24,25,26,27,32,33,34,35,36,37,38,42,43,44,50,51,52,53,54]",[],,,,,True,selected,selected,True,selected,selected
cube:E0007:cam2,cube,7,2,,B_eyetohand,cam2/rgb_00007.png,8,"[5,4]","[""-X"",""-Y""]",nonplanar_multiface,0.7857498973514799,1.0,default,True,selected,selected,True,selected,selected
board:E0007:cam3,board,7,3,,B_eyetohand,cam3/rgb_00007.png,26,"[14,24,25,33,34,35,36,37,38,42,43,44,45,46,47,48,49,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
board:E0008:cam0,board,8,0,,B_eyetohand,cam0/rgb_00008.png,60,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0008:cam1,cube,8,1,,B_eyetohand,cam1/rgb_00008.png,8,"[4,3]","[""+Y"",""-X""]",nonplanar_multiface,0.5447748255354651,1.0,default,True,selected,selected,True,selected,selected
board:E0008:cam2,board,8,2,,B_eyetohand,cam2/rgb_00008.png,42,"[0,1,2,3,4,5,6,9,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,29,32,33,34,35,36,37,38,39,42,43,44,50,51,52,53,54]",[],,,,,True,selected,selected,True,selected,selected
cube:E0008:cam2,cube,8,2,,B_eyetohand,cam2/rgb_00008.png,8,"[5,4]","[""-X"",""-Y""]",nonplanar_multiface,1.1119872168584162,1.0,default,True,selected,selected,True,selected,selected
board:E0009:cam0,board,9,0,,B_eyetohand,cam0/rgb_00009.png,60,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
